Indicator,Definition,System Part,Units,Calculation,ID,Objective,Comment
Metered costumers,Number of meters of per users,5.0,No./users,Total number of meters/total number users,104,4,,
Automatization level,Percentage of automatic control units,10.0,%,Automatic control units/total control units*100,105,4,,
Remote control level,Percentage of units operated remotely,10.0,%,Remotely controlled units/total control units*100,106,4,,
Network Inspections,Percentage of network (in length) that is inspected in a year,7.0,%/yr,Km of inspected network in a year/total Km of network,107,8,,
Active leakage control repairs,Number of leakages detected and repeated per unit of network length,4.0,No./100km-yr,No. leakages detected and repaired/year)/total network length(Km)*100,108,8,,
Emergency Electric system inspection,Ratio of inspection of emergency electric systems per year in terms of nominal power,2.0,%/yr,Total energy capacity inspected (MW)/year)/Total energy capacity)*100,111,6,,
Electrical power inspection,Ratio of electric equipment inspected in a year,2.0,%/yr,No. of electrical equipment inspected/year)/Total No. of electrical equipment)*100,112,8,,
Vehicle availability,Average number of vehicles available daily for operation and maintenance per 100km of pipe network,16.0,No./100km,(Sum Available vehicles per day/356)/Total network length (km))*100,113,4,,
Total pumping Energy Cost,"The total cost of pumping depending on flow, pump head, efficiency, price, and the time dura-
tion during which the considered pump is running.",2.0,M.U., C(MU) = (Cf [kWh/m4]× Q[m3/s] × h[m] × p[MU/kWh] × t[h])/η[%],70,7,,
Velocity Reliability Index,"The Velocity Reliability (VR) index measures how well the current velocity \( v_i \) stays within a defined acceptable range, bounded by \( v_i^{\text{min}} \) and \( v_i^{\text{max}} \). A VR value of 0 indicates the velocity is outside this range, while a positive value means the velocity is within acceptable limits.",7.0,--,"VR = CASE
    WHEN v_i < v_i_min THEN 0
    WHEN v_i_min <= v_i AND v_i <= v_i_mean THEN (v_i - v_i_min) / (v_i_mean - v_i_min)
    WHEN v_i_mean < v_i AND v_i <= v_i_max THEN (v_i - v_i_max) / (v_i_mean - v_i_max)
    ELSE 0
END,
where v_i_mean = (v_i_min + v_i_max) / 2",71,4,Source is https://www.mdpi.com/2073-4441/7/7/3613,
Solved User Complaints,Percentage of total registered complaints resolved,11.0,%,Solved complaints/Total registered complaints,72,8,,
OPEX recovery,Percentage of operation and maintenance (O&M) costs that are recovered from the water sales,6.0,%,Recovered value (MU) / Total OPEX (MU),73,7,,
Collection Ratio,Percentage of the billed amount that is collected from water-supply-related  taxation and user charges,6.0,%,(Total received payments (MU/y) / Total Billed water (MU/y))*100,74,7,,
Organoleptic Quality,Percentage of organoleptic tests carried out per required test,17.0,%,No. of tests carried out/no. of tests required,114,8,,
Radioactivity Quality,Percentage of radioactivity tests carried out per required test,17.0,%,No. of tests carried out/no. of tests required,115,8,,
Public taps in service and standpipes,Percentage of public water taps that are not out of service,12.0,%,Working taps/total taps in the system*100,116,2,,
Average distance to public taps and standpipes,Mean distance between standpipe and furthest serving house to such standpipe,12.0,m,(Sum max distance service)/total standpipes,117,1,,
Consumption per capita in Public taps and standpipes,Ratio between supplied water in public taps and standpipes and the population it supplies,1.0,L/capita-d,Total volume supplied (L/d) in Public taps and standpipes/Total residents supplied by Public Taps and standpipes,118,2,,
Population per public tap or standpipe,Average number of people supplied by public tap or standpipe,12.0,person/tap,(Sum People supplied per tap)/Total number of public taps,119,2,,
Pressure of supply adequacy,Percentage of connections that receive adequate water pressure,12.0,%,Adequate pressure connections/total connection points*100,120,8,,
New connection efficiency,Average time of water availability when a user request for service on existing connections,12.0,days,(Sum time for new connection/total new connections per year),121,8,,
Connection repair efficiency,Average time of connection repairment,12.0,days,(Sum time for repair/total damaged connections in a year),122,8,,
Unit water annual revenue,Income per cubic meter of authorized consumption,6.0,M.U./m3,Total yearly income (M.U)/Total supplied water (m3),123,7,,
Ratio of lead or Asbestos service lines,Ration between the number of lead or asbestos service pipes in use vs the total network length,7.0,%,Total length of lead pipes in use (km)/total length of Network (km)*100,138,8,,
Drinking water storage per population supplied,Drinking water storage volume per population supplied,13.0,L/person,"((Total service reservoir capacity (except emergency reservoirs) × 1/2 + Emergency reservoir capacity)/Service population) × 1,000",139,2,,
Mains density,Distribution of network pipes in the total service area,7.0,Km/Km2,Total Pipe length (Km)/Total Servic area (Km2),140,2,,
Aging of water treatement facilities,Percentage of capacity of purification facilities exceding useful life,14.0,%,(Capacity of purification facilities exceeding statutory useful life/ Capacity of all purification facilities) × 100,141,8,,
Aging of electrical and mechanical equipment,Percentage of capacity of electric and mechanical equipment exceding useful life cycle,9.0,%,Number of electric and mechanical equipment exceeding life cycle/ Total number of electric and mechanical equipment,142,8,,
Aging of Mains,Percentage of pipe network exceding useful life cycle,7.0,%,Km of pipes over 40years / Total Network length,143,8,,
Accidental water pollution,Accidental water resource pollution,9.0,No./yr,Ratio of substituted meters in a year,144,8,,
Rate Facility Utilization,Ratio of average daily supply to the dailyu capacity. The larger the value the higher efficiency,9.0,%,Water Supply Volume per Day/ Daily Average WaterSupply Volume (m3),145,4,,
Maximum rate of operation,Ratio of the longest to plannedin daily operation of facilities,9.0,%,Water Supply Volume per Day/ Daily Maximum WaterSupply Volume (m3),146,4,,
Emissions of CO2,Ammount of CO2 emmissions per 1 m3 of delivered water,18.0,g CO2/m3,Total yearly CO2 emmission (g) / Annual water delivered (m3),147,5,,
Average Water Demand,Average daily water demanded in the city per day,1.0,Mm3/d,Hourly water demand (m3/h)/24h,149,3,,
Highest water demand,Maximum demand in peak hour of the day,1.0,Mm3/d,Max hourly demand in 24h,150,3,,
Number of low income HH,Number of household users with low income provided with water,1.0,Housholds/year,Num low income HH supplied per year,151,3,,
Resiidential Consumption,Percentage of water consumed for residential porpuses in a year,1.0,%,Residential comsumption / Total Water Consumption,153,3,,
Commercial Comsumption,Percentage of water consumed for commerce porpuses in a year,1.0,%,Commercial comsumption / Total Water Consumption,154,3,,
Industrial Comsumption,Percentage of water consumed for industrial porpuses in a year,1.0,%,Industrial comsumption / Total Water Consumption,155,3,,
Energy Efficiency of pumping installations,"easures the energy consumption per cubic meter of water pumped, per 100 meters of head (pressure height)",2.0,kWh/(m3/100m),Total Energy consumend(kWh) / (Total water extraction(m3)/ pressure height (m)),156,4,,
City Budget investment,Percentage of city budget that gets invested in water supply,6.0,%,Water supply budget / Total city budget,157,7,,
Disaster Budget,Percentage of city budget destined to disaster response mechanisms,19.0,%,Investement in disaster response/ Total city Budget,158,6,,
Waterborne desiases,Number of illnesess caused by poor water quality in a year,17.0,No./yr,No. reported illnesess cases / 1 year,159,5,,
Production Yeild,Ratio between the stored volume and produced volume,12.0,%,Stored volume (Mm3) / Produced Volume (Mm3))*100,160,2,,
Linear Distribution Loss Index,Volume of water lost per unit length,4.0,m3/km-d,(Volume Supplied - Volume Billed)/Linear of Network (km) * 365,161,4,,
Network Reslience index,"Used to evaluate the service flexibility for eventual in- creases in water demand. Its values range between 0 and 1, where values near 0 have small service flexibility to an increase in demands and values close to 1 correspond to systems with good service flexibility",12.0,--,"NRI = (Σ[i=1 to N] U_i * Q_i * (H_i - H_i^req)) / (Σ[r=1 to Nr] Q_r * H_r + Σ[b=1 to Nb] (p_b / γ) - Σ[i=1 to N] Q_i * H_i^req)U_i = (Σ[l=1 to np_i] D_l) / (np_i * max{D_1, ..., D_l})",162,6,,
Chemical Use,Amount of chemicals used for the treatment of 1000m3 of water,14.0,kg/yr,Sum chemicals used per year,163,8,,
Apparent or commercial losses per connection per day,"Apparent losses consist of unauthorized consumptions (illegal connections,
unauthorized use of fire hydrants, meter bypassing, and poor billing collection system)",4.0,m3/connection-d,Apparent losses (m3 per day)/no. of connections,1,4,,
Chlorine Quality,Percentage of chlorine tests carried out per required test,17.0,%,No. of tests carried out/no. of tests required,2,8,,
Consumption per capita,Estimated water consumption of water per person per day,1.0,L/capita-d,Yearly Water supplied/Total population supplied,5,3,,
Contribution of alternative energy sources,Percentage of energy that comes from a source different to the main one,2.0,%,((Energy from main source + Energy from alternative sources) / Total Energy consumption) * 100,6,6,,
Contribution of alternative Water sources,Percentage of water that comes from a source different to the main one,12.0,%,((Water main source + Sum(Water alternative sources)) / Total water available) * 100,7,6,,
Energy Network efficiency,Percentage of energy that is maintained throughout the network,7.0,%,(Pressure end-node / Pressure initial-node)*100,8,4,,
Available Fresh Water Per Capita,Available drinking water per capita every year,12.0,m3/capita - yr,(Total water resources/year)/total population,10,2,,
Gate valve inspection,Number of gate valves inspected in a year vs total number of valve gates,15.0,%,Inspected/total number of gate valves,11,8,,
Hydrant failures (no./year),Number of hydrants that fail in a year compared to total number of hydrants,3.0,%,No. of hydrant failures/total no. of hydrants,12,6,,
Hydrant inspection,Number of hydrants inspected in a year compared to total number of hydrants,3.0,%,Inspected/total number of fire hydrants,13,8,,
Imported water level,Percentage of imported water from transboundary/system input volume,12.0,%,Total imported water / total annual available water,14,2,,
Infrastructure leakage index, effectiveness of their water loss control efforts compared to an ideal state where only unavoidable losses occur,4.0,--,(Current Annual Real Losses CARL/ Unavoidable Annual Real Losses UARL),15,4,,
Inline water quality monitoring equipment calibration,Number of calibrated sensors in a year per total number of sensors,9.0,%,Calibrated/total number of inline water quality sensors,17,8,,
Mains failures (km/year),Total length of mains pipes that experience failures or bursts within a 1-year period.,7.0,%,Length of mains with failures (km)/total mains length(km),19,4,,
Mains rehabilitation,"Total length of existing mains pipes that have undergone rehabilitation works (e.g., relining) during the reporting period.",7.0,%,Pipe length rehabilitated/rehabilitation required,20,8,,
Mains renovation,"Total length of mains pipes that have undergone renovation activities (e.g., repiping or major structural repairs) in the reporting period.",7.0,%,Pipe length renovated/pipe length requiring renovation,21,8,,
Mains replacement,Total length of mains pipes removed and replaced with new piping during the reporting period.,7.0,%,Pipe length replaced/pipe length requiring replacement,22,8,,
Meter replacement,Ratio of substituted meters in a year,5.0,%,Number of meters replaced/meters requiring replacement,23,8,,
Metered Residential water,Percentage of HH whose water consumption is metered,5.0,%,HH metered / Total number HH,24,4,,
Microbiological (E-coli and total coliform) Quality,Percentage of E. coli and total coliforms tests carried out per required test,17.0,%,No. of tests carried out/no. of tests required,25,5,,
Zoned Network inspection,Number of inspected zones in a year per total number of distric metering zones,9.0,%,Zones Inspected/total number of district metering zones,26,8,,
Non-revenue water,"Non-revenue water (NRW) is water that has been produced and is ""lost"" before it reaches the customer",4.0,%,((System input volume - Billed authorized consumption)/System input volume)*100,27,2,,
Operational meters,"Percentage of the water supply points with functional water
meters",5.0,%,Number of operational meters/number of direct customer meters,28,4,,
Overall water Quality,Percentage Drinking water samples meeting WHO and local standards,17.0,%,(Samples yearly meeting standards / Total yearly samples taken)*100,31,5,,
Physical-chemical Quality,Percentage of physico-chemical tests carried out per required test,17.0,%,No. of tests carried out/no. of tests required,32,5,,
Power failures (hours/year),Average Number of hours with power failure per day of operation.,2.0,%,Power failure hours/total working hours,33,6,,
Pressure meter calibration,Perecentage of pressure meter readings verified and adjusted,5.0,%,Calibrated/total number of pressure meters,34,8,,
Coverage of water supply,Population using safely managed drinking water services,12.0,%,(Population with access to water service / Total population)*100,36,1,,
Pump failures (days/pump/year),Average number of days per year that pumps are out of service due to mechanical or electrical failures.,8.0,%,No. of pump failure/no. of pumps,37,4,,
Pump replacement,Number of pumps that have been removed and replaced with new units during the reporting period.,8.0,%,Pump capacity replaced/pump capacity requiring replacement,38,8,,
Pumping inspection and maintenance,Number of inspection and maintenance activities performed on pumps to ensure reliable operation.,8.0,%,No. of inspections done/required number of pump inspections,39,8,,
Real or physical losses per connection per day,"real losses include the amount of water lost due to all types of leaks, bursts and overflows on the main, service reservoir, and service connection, up to the point of customer metering",4.0,m3/connection-d,Real losses (m3 per day)/no. of connections,40,4,,
Replaced valves,Number of valves replaced in a year vs total number of damaged valves in a year,15.0,%,Number of valves replaced/valves requiring replacement,41,8,,
Residential customer reading efficiency,Effectiveness of meter‐reading operations for residential customers.,5.0,%,Number of residential meters read/total number of residential meters,42,4,,
Service connection failures (no./year),Number of connection failures in a year per total number of service connections,9.0,%,No. of service connection failures/no. of service connections,43,6,,
Service connection rehabilitation,Number of services connectios rehabilitaded compared to the total cases of damage,9.0,%,Number of service connections rehabilitated/ service connections requiring rehabilitation,44,8,,
Service time,Number of hr in a day with minimum service standard,12.0,hr/d,(Average number of hours/days),46,6,,
Storage tank cleaning,Number of tanks cleaned in a year vs the total number of storage tanks,13.0,%,Number of cleaned/total number of storage tanks,47,8,,
System flowmeter calibration,Number of flow meters calibrated in a year per total number of flowmeters,9.0,%,Number of calibrated/total number of flowmeters,48,8,,
Water level sensor calibration,Number of water level sensors calibrated in a year per total number of Water level sensors,9.0,%,Number of calibrated/total number of water-level sensors,50,8,,
Water networks capacity,The proportion of the water network that is old and worn out.,7.0,km/km,Km of worn-out network/Km Total network,52,8,,
Water quality equipment calibration,Number of water quality equiment calibrated per year vs total number of water qualitiy equipment,17.0,%,No. Calibration/total number of water quality equipment,53,8,,
Water tariff affordability,The price of water tariff for households,1.0,M.U./m3,User payment (MU)/m3 water,54,1,,
Water-point failures (tanker filling station) (no./year),Number of tanker filling stations failures per year compared to the total number of water points,13.0,%,No. of water point failures/no. of water points,55,4,,
Energy Consumption per year,Energy consumed by pumping and transmision of water in a year,2.0,GW/yr,Total Energy consumption/yr,56,4,,
Allocated Personal,Number of people working in the water company per 1000 connections,11.0,N°/connect-year,(Number of employees in a year/Number of connections)*1000,57,11,,
Total Expenditure,OPEX+CAPEX,6.0,M$/year,Sum(expenses in a year),58,7,,
Total Extraction,Total volume of raw water extracted from all sources over a 1-year period.,12.0,Mm3/year,Sum(monthly extraction),59,2,,
Security Supply,Ratio of Effective water that reach the costumer to the total annual intake,12.0,%,Annual water supplied/Annual water consumption,61,6,,
Number of Water Treatment Plants,Count of water treatement plants,14.0,Count,Count,62,4,Not Time Bounded,
Number of other treatment facilities,Count of water traatment facilities,14.0,Count,Count,63,4,Not Time Bounded,
Number of pumping stations,Total count of operational pumping‐station facilities within the water supply system.,8.0,Count,Count of active pumping stations.,64,4,Not Time Bounded,
Total Network Length,Cumulative length of all the pipes and distribution channels in a water supply network,7.0,Km,Sum of the lengths (km) of all pipes in the network.,65,4,Not Time Bounded,
User Complaints,Number of complaints per 1000 inhabitants,11.0,c/cap-yr,Sum(Number of complaints/yr)/1000 inhabitants,67,8,,
Upgrade inconvenience,"The number of actions carried out to improve the distribution network per km of network
improve the distribution network",11.0,Actions/km,Number Upgrade actions/Total Network length (km),68,4,,
Service interruption due improvements,The number of closures due to improvements actions per km of network,11.0,Cuts/km,Number supply cuts/Total Network length (km),69,4,,
Sales revenue,Percentage of income that comes from sales,6.0,%,Sales income in a year /Total income in a year,124,7,,
Other revenue,Percentage of income that does not come from sales,6.0,%,Non-sales income in a year/Total income in a year,125,7,,
Unitary OPEX,Total operational expenditure per consumed cubic meter,6.0,M.U./m3,Total OPEX per year/Total supplied water,126,7,(Ordinary expenses - (Commissioned workcost + Unused material and articlecosts + Auxiliary service cost))/Revenue water volume,
Unitary CAPEX,Total capital expenditure per consumed cubic meter,6.0,M.U./m3,Total CAPEX in a year/Total supplied water,127,7,,
Internal manpower cost ratio,Percentage of expenditure that is related to internal manpower,6.0,%,Internal man power expenditure in a year/Total OPEX,128,7,,
External services costs,Percentage of expendiuture that is related to external services,6.0,%,External services expenditure in a year/Total OPEX,129,7,,
Imported water cost,Percentage of expenditure that relates to water imports (both raw and trated),6.0,%,Water imports expenditure in a year/Total OPEX,130,7,,
Electric energy costs,Percentage of expenditure that corresponds to electricity,6.0,%,Electricity expenditure/Total OPEX,131,7,,
Other costs,Percentage of expenditure that are not internal manpower or external services or imported water or electricity,6.0,%,Other expenses/Total OPEX,132,7,,
Total cost coverage Ratio,Ratio between total income and total costs,6.0,%,(Total income in a year/ total costs in a year)*100,133,7,,
Contribution of internal sources to investment - CTI,Percentage of final investments that are financed trough cash flow,6.0,%,Total final investments in a year/ Total sales income,134,7,,
Debt equity ratio,Ratio between total debt and total resources,6.0,--,Total debt (M.U.)/ Total financial resources (M.U),135,7,,
Surplus capacity,Ratio of resource capacity to maximum daily transmition,12.0,%,Total Supply volume per day/ Daily maximum water supply Volume,137,2,,
AT - Apparent Temperature,"“Feels‐like” temperature expressing how hot it actually feels to humans, accounting for air temperature, humidity and wind speed.",,C,"AT = [0.89 x Ta] + [3.82 x (e/10)] - 2.56, where: Ta = Mean annual / monthly maximum temperature (°C) (1976 - 2005)
e = Mean annual / monthly 3pm vapour pressure (hPa) (1976 - 2005)",164,15,,
AWGBT - Aproximated Wet Bulb globe Temperature,An index that can be used for evaluating outdoor thermal stress conditions.,,C,AWBGT = 0.567T a + 0.393e w + 3.94,165,15,,
BGT - Black globe Temperature,"Measurement consists of a hollow copper sphere (90 mm diameter) painted mattblack, to absorb radiant heat, with a temperature sensor at its centre",,C,Direct measurement,166,17,,
CDH -  Cooling Degree Hour,measurement to analyze the accumulated cooling needs over a specific time period based on the climatic change of the outdoor environment.,,C.d,"CDH = Σ[k=0 to n] { (t_oa,k - t_b, if t_oa,k > t_b; 0, if t_oa,k ≤ t_b) }",167,16,,
CIHB -  Comfort Index Human Body,It is an indicator improved by Chinese scholars based on the Temperature and Humidity Index (THI) which is a method for characterizing human comfort from the perspective of biometeorology,,%,CIHB = 1.8 × AT + 0.55 × (1 - RH) + 32 - 3.2 × √WS,168,15,,
CTSC - Composite Thermal Comfort Score,"CTCS takes into account the extent, duration, and intensity of the thermal stress assessed by the UTCI, which could comprehensively evaluate the OTC of cities",,--,CTCS = (Σ[i=1 to n] Σ[j=0 to 9] (q_ij × w_j)) / n,169,15,,
DI - Discomfort Index,Combination of temperature and humidity that evaluates how current temperature and relative humidity affect the discomfort sensation and cause health risk in the population,,C,DI = Ta − 0.55 (1 − 0.01 RH) (Ta − 14.5),170,15,,
HI - Heat Index,Apparent temperature index combining air temperature and relative humidity to quantify how hot it feels to the human body.,,F,"−42.379+2.04901523T a​ +10.14333127RH−0.22475541T a​ RH−6.83783×10 −3 T a2​ −5.481717×10 −2 RH 2 +1.22874×10 −3 T a2​ RH+8.5282×10 −4 T a​ RH 2 −1.99×10 −6 T a2​ RH 2
2R",171,15,Rothfusz equation,
HIA - Heat Island Area,accessibility-based residents’ heat exposure risk,,Km2,A_i^HIA = Σ[j=1 to n] { S_j^HIA * (1 + NDBI_j) * [Σ[k=1 to m] (D_k * f(d_kj))]^(1/2) * f(d_ij) },172,16,,
HIP - Heat Island Potential,"evaluation model can estimate the heat island effect in a planned urban area using the planning indicators (building density, floor area ratio, green coverage, etc.",,--,HIP_sum = 227.05η_B + 76.12η_C + 54.31η_D + 30.8η_E - 1.44η_F - 22.77η_G - 88.4η_H,173,16,,
HWDD -  Heat Wave degree days,This indicator provides an aggregate picture of the total duration and weight of heat waves throughout a selected period,,C.d,"HWDD = Σ[i=1 to D] { [(T_min,i - 18.2°C)^+ + (T_max,i - 29.6°C)^+] * h_i }",174,16,,
HWMId -Heat Wave Magnitude Index daily,integrates both the length and the magnitude of a heat wave to calculate its overall strength,,C,"HW_M = { (TX - TXx25p) / (TXx75p - TXx25p), if TX > TXx25p; 0, otherwise }",175,16,,
HX - Humidex,humidex is an equivalent dry-air temperature; air of a given temperature and moisture content is equated in comfort to air of a higher temperature which has a negligible moisture content,,--,Humidex = Ta + 0.5555 × 6.11 × e^(1/273.15(Td - 273.15)),176,15,,
LST - Land Surface Temperature,"Radiant temperature of the ground/terrain as detected by thermal‐infrared sensors, representing the emission temperature of land surfaces.",,C,LST = T_B / (1 + (λσT_B / ℏc)) T_B = K_2 / (ln(K_1 / L_λ) + 1)L_λ = 0.0003342 × DN + 0.1,177,17,,
NET - Net Effective Temperature,"Links effective temperature, which indicates the effects on comfort through air temperature and relative humidity, and an organism's thermoregulatory capacity.",,C,NET = 37 - ((37 - T) / (0.68 - 0.0014RH + (1 / (1.76 + 1.4v^0.75)))) - 0.29T(1 - 0.01RH),178,15,,
OTCA - Outdoor Thermal comfort Autonomy,Percentege of time over a year that an area meets a given set of Thermal comfort Accepatbility Criteria,,%,"""1"" /""N""  ∑_""k=11"" ^""16"" ▒〖"" "" 〖""TC"" 〗_""k""  〗 ""∙100""",179,15,Using Envi-met,
PCI - Park Cold Island Effect,"park-type urban cold island is called PCI (Park Cold Island), and its effect intensity is characterized by the difference between the ground temperature inside and outside the park",,C,PCI = ΔT = TU − TP,180,17,Cooling Effect,
PDD - Predicted Percentage of Dissatisfied,Percentage of people who would be dissatisfied with the climate conditions,,%,PPD = 100 - 95 * e^(- (0.03353 * PMV^4 + 0.2179 * PMV^2)),181,15,,
PET - Physiological Equivalent Temperature index,"temperature at any given place (outdoors or indoors) and is equivalent to the air temperature at which, in a typical indoor setting, the heat balance of the human body (work metabolism 80 W of light activity, added to basic metabolism; heat resistance of clothing 0.9 clo) is maintained with core and skin  emperatures equal to those under the conditions being assessed.",,C,"f(Ta[C] VP[hPa], v_1.2 [m/s], Tmrt[], Work, Gender)",182,15,"Ta = temperature, VP = Vapor Pressure, v_1.2 = Windspeed at 1.2m, Tmrt = Mean Radian Temperature",
PMV - Predicted Mean Vote Index,"PMV index is a function of six variables: physiological variables and the rest are environmental variables. PMV index values range from −3 to +3, which describes the feeling of cold to hot",,--,[(0.303⋅e−0.036⋅M)+0.028]⋅[(M−W)−3.05⋅(5.733−0.007⋅(M−W)−Pa)−0.42⋅((M−W)−58.15)−0.0173⋅M⋅(5.867−Pa)−0.0014⋅M⋅(Ta−Tsk )−hc(Tsk−Tr )],183,15,Using Bio-met,
RHSI - Radiant Heat Stress Index,"valuates dynamic changes in heat stress
based on Tmrt, a key meteorological parameter representing the impact of thermal radiation
on human thermal comfort",,--,"RHSI = Σ[i=1 to n] T_mrt(i) = { (i - 55°C), if T_mrt(i) ≥ 55°C; 0, if T_mrt(i) < 55°C }",184,15,,
Average Fixed Mortgage rate,mean interest rate charged on mortgage loans with a fixed interest rate over a defined period. It reflects borrowing conditions in the housing market.,,%,"AFMR_y = \frac{1}{n} \sum_{i=1}^{n} r_{i,y}\text{where:} \quad AFMR_y = \text{Average Fixed Mortgage Rate in year } y, \quad r_{I,y} = \text{Fixed mortgage rate on loan } I \text{ in year } y",310,22,,
Park/Green Quality Index,"Indicator that relates vegetation, Equipment and Furnishing of parks. This is assumed as a proxy for Increased property value. Can be measured in Total Green/blue area, NDVI, % of land cover and/or green visibility",,--,PGQI_i = w_1 \cdot \text{NDVI}_i + w_2 \cdot \text{GreenCoverage}_i + w_3 \cdot \text{GreenVisibility}_i + w_4 \cdot \text{EquipScore}_i\text{subject to:} \quad \sum_{k=1}^{4} w_k = 1,311,19,,
Monthly mortgage Repayment,Average monthly payment made by households on mortgage loans.,,M.U./month,sum of all mortgage repayments in month/Total mortages value,312,22,,
Monthly rent payment,Average monthly rent paid by tenants.,,M.U./month,Sum of rents paid by households/ number of renting households,313,22,,
Monthly services costs,"Costs of Water, electricity, waste incurred by a household per month",,M.U./month,Total services bills in month/Number of households,314,22,,
Total monthy Housing cost,Sum of rent/mortgage payment and monthly costs,,M.U./month,Rent + Services,315,22,,
Private Transportation costs,Mean commuting expenditure by cost of vehicle ownership and operational costs of commuting per unit of distance,,M.U./month,Vehicle amortization + (Operation cost [M.U./km]/distance commute [km]),316,22,,
Public transportation expenditure,Average monthly household spending on public transport.,,M.U./month,Total public transit fares paid in month/number of households,317,22,,
Rent - income ratio,amount or percentage of income paid for rent or a mortgage as a cost of living,,%,Average monthly rent/average monthly disposable income *100,318,22,,
Overcrowdign rates,Available space in sqm per habitable room (excluding kitchen/baths),,%,Total habitable area / Number of residents,319,19,,
Housing Tenure distribution,Share of households in different tenure types,,%,Households in tenure type j / Total households *100,320,18,,
Share of households reciving housing allowance,Refers to the size and number of rooms available for members of the same family in the same property and is based on age and gender,,%,Housholds receiving allowance/total households,321,22,,
Population density,Number of people per unit of land area.,,P/km2,Total population / Land area,322,21,,
Housing related expenditure,final consumption expenditure incurred by families for goods and services purchased to satisfy their needs and desires,,M.U,Housing costs/total household expenditure*100,323,22,,
